idx	score	sentence1	sentence2
0	0.5066494345664978	The boys are earning their next belt in karate.	Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.
1	3.7371296882629395	Shares of Mandalay closed down eight cents to $29.42  before the earnings were announced.	Shares of Mandalay closed down 8 cents at $29.42 Thursday.
2	3.4030890464782715	A light brown dog runs down a path happily.	A pale dog runs down a path.
3	4.681382179260254	A brown dog runs towards the camera on a dirt trail with mountains in the background.	A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
4	0.7254239916801453	Sculptor applying concrete to large statue of human figure standing with no head.	A person is standing in front of a building holding aloft some plywood
5	0.2856666147708893	A person is adding food in a pan.	A man is dancing in the street.
6	4.933159351348877	A girl is styling her hair.	A girl is brushing her hair.
7	3.8149125576019287	Three men are doing same dance in the street.	Three shirtless men are dancing in the street.
8	2.5688652992248535	The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.	Prices for Treasury securities also rose  with the yield on the benchmark 10-year note falling to 4.19 percent.
9	2.6166696548461914	Rocky and Apollo Creed are running down the beach.	The men are jogging on the beach.
10	1.3375532627105713	I think there isn't a general answer.	I don't think there is a single definition.
11	3.816540241241455	It depends on what you want to do next  and where you want to do it.	In other words  it depends on where you go  when you do there and how.
12	0.25288641452789307	A very retro living room with a television in it.	A grey cat lying on a wooden table.
13	3.824859619140625	You got it right.	You've got it right.
14	3.287587881088257	A man is performing labor.	A man is performing today.
15	3.339639902114868	In so many different ways  the artistry of black musicians has conveyed the experience of black Americans throughout our history  Bush said.	Surrounded by singers from Harlem  Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.
16	3.015650987625122	Three children wrestle on a floral carpet.	Three children playing on the floor.
17	0.28705739974975586	A cruise ship is in front of a docking area.	Calico cat sitting on step in front of a door.
18	4.871400356292725	A man running on a track.	a man running track
19	3.2978811264038086	But Odette is the first to form over the Caribbean Sea in December  the Center said.	It is the first named storm to develop in the Caribbean in December.
20	1.0132079124450684	A man is slicing an onion.	A woman is slicing a pumpkin.
21	2.551194190979004	Two puppies playing with a plastic bag.	Two dogs playing in a yard.
22	3.809772253036499	A man mixes vegetables in a pot.	A person is stirring vegetables in a pot.
23	4.893734931945801	four children are playing on a trampoline.	Four kids are jumping on a trampoline.
24	2.6142702102661133	There are two things to consider:	There are two possible causes for this:
25	2.865041732788086	She was the only woman in her unit and a member of Teamsters Local 995.	She was the only woman employed as a warehouse worker and heavy equipment operator and the only woman in her Teamsters local.
26	3.134025812149048	A father napping in a chair with a baby on his lap.	Man with pink shirt sleeping on chair with infant.
27	4.714663505554199	Moffitt said the results need to be replicated in another study before testing of individuals for presence of the long or short versions of the gene will be pursued.	Professor Moffitt said the results needed to be replicated before pursuing testing of individuals for the presence of the long or short versions of the gene.
28	4.254936218261719	It's not a good idea.	It is not a good idea.
29	2.820805549621582	The injured were taken to hospitals in Jefferson City and Columbia  a college town about 30 miles to the north.	The injured were taken to hospitals in Jefferson City and Columbia  about 48km north; their conditions were not immediately available.
30	4.032377243041992	How should I proceed about this?	So how should I do this?
31	2.892970561981201	"""Jeremy's a good guy  Barber said  adding: """"Jeremy is living the dream life of the New York athlete."""	"""He also said Shockey is """"living the dream life of a New York athlete."""
32	1.4550726413726807	A television  upholstered chair  and coffee stable in a bright room.	A leather couch and wooden table in a living room.
33	4.507931709289551	Two men are playing football.	Two men are practicing football.
34	4.4966278076171875	The answer to both questions is: Yes.	The answer to both of your questions is yes.
35	3.2779033184051514	A black dog standing in a grassy area.	A long-haired dog stands in a grassy wooded area.
36	3.1639294624328613	She was taken by ambulance to Charing Cross Hospital in Hammersmith.	She was taken to Charing Cross Hospital  where she remained critically ill last night.
37	3.2193045616149902	Two workers are sitting next to pipes eating lunch	The construction workers are sitting down to eat lunch.
38	5.0781965255737305	The surfer does a flip off of a wave.	A surfer does a flip on a wave.
39	1.3235557079315186	MGM  NBC and Liberty executives were not immediately available for comment.	A Microsoft spokesman was not immediately available to comment.
