idx	score	sentence1	sentence2
0	0.4758429527282715	The boys are earning their next belt in karate.	Five girls and one boy are in their swimsuits all in the middle of jumping into the pool.
1	3.6243176460266113	Shares of Mandalay closed down eight cents to $29.42  before the earnings were announced.	Shares of Mandalay closed down 8 cents at $29.42 Thursday.
2	2.751995325088501	A light brown dog runs down a path happily.	A pale dog runs down a path.
3	4.684492349624634	A brown dog runs towards the camera on a dirt trail with mountains in the background.	A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background.
4	1.0518869757652283	Sculptor applying concrete to large statue of human figure standing with no head.	A person is standing in front of a building holding aloft some plywood
5	-0.2072717808187008	A person is adding food in a pan.	A man is dancing in the street.
6	3.5193845629692078	A girl is styling her hair.	A girl is brushing her hair.
7	3.9035192131996155	Three men are doing same dance in the street.	Three shirtless men are dancing in the street.
8	2.847745418548584	The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.	Prices for Treasury securities also rose  with the yield on the benchmark 10-year note falling to 4.19 percent.
9	2.541346549987793	Rocky and Apollo Creed are running down the beach.	The men are jogging on the beach.
10	3.199448585510254	I think there isn't a general answer.	I don't think there is a single definition.
11	4.099228084087372	It depends on what you want to do next  and where you want to do it.	In other words  it depends on where you go  when you do there and how.
12	0.4392455890774727	A very retro living room with a television in it.	A grey cat lying on a wooden table.
13	4.826302230358124	You got it right.	You've got it right.
14	3.1445401906967163	A man is performing labor.	A man is performing today.
15	4.0283337235450745	In so many different ways  the artistry of black musicians has conveyed the experience of black Americans throughout our history  Bush said.	Surrounded by singers from Harlem  Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.
16	3.4523776173591614	Three children wrestle on a floral carpet.	Three children playing on the floor.
17	1.3809728622436523	A cruise ship is in front of a docking area.	Calico cat sitting on step in front of a door.
18	4.760343432426453	A man running on a track.	a man running track
19	3.2288727164268494	But Odette is the first to form over the Caribbean Sea in December  the Center said.	It is the first named storm to develop in the Caribbean in December.
20	1.0395966470241547	A man is slicing an onion.	A woman is slicing a pumpkin.
21	2.1717262268066406	Two puppies playing with a plastic bag.	Two dogs playing in a yard.
